StdOrder,RunOrder,StdPoints,Blocks,Height,WheelSize,WheelNo,Length,LoadType,Distance,Cost of Carbase,join cost,load cost,wheel cost,total wheel  cost,axel block cost,Height cost,winshield/sterring cost,Total Cost,Cost/Distance Cover,,,,High,Low,,,High,Low
12,1,1,1,1,1,-1,1,-1,91,2000,800,700,500,2000,500,200,700,7400,81.31868132,,,base,2000,1000,,Height,3,1
31,2,1,1,-1,1,1,1,-1,101,2000,800,700,500,3000,1000,0,700,8700,86.13861386,,,joint,200,0,,,,
8,3,1,1,1,1,1,-1,-1,66,1000,0,700,500,3000,1000,200,700,7100,107.5757576,,,load,1000,700,,,,
1,4,1,1,-1,-1,-1,-1,1,86.5,1000,0,1000,250,2000,500,0,700,5450,63.00578035,,,wheels,500,250,,WheelSize,Large,Small
16,5,1,1,1,1,1,1,1,90,2000,800,1000,500,3000,1000,200,700,9200,102.2222222,,,wheel axel,100,50,,,,
18,6,1,1,1,-1,-1,-1,-1,89.5,1000,0,700,250,2000,500,200,700,5350,59.77653631,,,extra axel,400,200,,WheelNo,High,low
6,7,1,1,1,-1,1,-1,1,86.5,1000,0,1000,250,3000,1000,200,700,7150,82.65895954,,,Extra Height,200,0,,,6,4
24,8,1,1,1,1,1,-1,-1,69.5,1000,0,700,500,3000,1000,200,700,7100,102.1582734,,,winshield,500,,,,,
17,9,1,1,-1,-1,-1,-1,1,83.5,1000,0,1000,250,2000,500,0,700,5450,65.26946108,,,sterring,200,,,Length,High,Low
29,10,1,1,-1,-1,1,1,1,111,2000,800,1000,250,3000,1000,0,700,8750,78.82882883,,,,,,,,1,2
9,11,1,1,-1,-1,-1,1,-1,112.7,2000,800,700,250,2000,500,0,700,6950,61.66814552,,,,,,,,,
11,12,1,1,-1,1,-1,1,1,106,2000,800,1000,500,2000,500,0,700,7500,70.75471698,,,,,,,LoadType,3Front,3Back
7,13,1,1,-1,1,1,-1,1,75.5,1000,0,1000,500,3000,1000,0,700,7200,95.36423841,,,,,,,,,
15,14,1,1,-1,1,1,1,-1,112.5,2000,800,700,500,3000,1000,0,700,8700,77.33333333,,,,,,,,,
26,15,1,1,1,-1,-1,1,1,79,2000,800,1000,250,2000,500,200,700,7450,94.30379747,,,,,,,,,
22,16,1,1,1,-1,1,-1,1,79.5,1000,0,1000,250,3000,1000,200,700,7150,89.93710692,,,,,,,,,
23,17,1,1,-1,1,1,-1,1,99.5,1000,0,1000,500,3000,1000,0,700,7200,72.36180905,,,,,,,,,
5,18,1,1,-1,-1,1,-1,-1,88,1000,0,700,250,3000,1000,0,700,6650,75.56818182,,,,,,,,,
3,19,1,1,-1,1,-1,-1,-1,68,1000,0,700,500,2000,500,0,700,5400,79.41176471,,,,,,,,,
20,20,1,1,1,1,-1,-1,1,90,1000,0,1000,500,2000,500,200,700,5900,65.55555556,,,,,,,,,
13,21,1,1,-1,-1,1,1,1,118,2000,800,1000,250,3000,1000,0,700,8750,74.15254237,,,,,,,,,
25,22,1,1,-1,-1,-1,1,-1,114,2000,800,700,250,2000,500,0,700,6950,60.96491228,,,,,,,,,
28,23,1,1,1,1,-1,1,-1,115,2000,800,700,500,2000,500,200,700,7400,64.34782609,,,,,,,,,
32,24,1,1,1,1,1,1,1,81,2000,800,1000,500,3000,1000,200,700,9200,113.5802469,,,,,,,,,
14,25,1,1,1,-1,1,1,-1,114.5,2000,800,700,250,3000,1000,200,700,8650,75.54585153,,,,,,,,,
2,26,1,1,1,-1,-1,-1,-1,69.5,1000,0,700,250,2000,500,200,700,5350,76.97841727,,,,,,,,,
30,27,1,1,1,-1,1,1,-1,114,2000,800,700,250,3000,1000,200,700,8650,75.87719298,,,,,,,,,
21,28,1,1,-1,-1,1,-1,-1,97,1000,0,700,250,3000,1000,0,700,6650,68.55670103,,,,,,,,,
10,29,1,1,1,-1,-1,1,1,106.5,2000,800,1000,250,2000,500,200,700,7450,69.95305164,,,,,,,,,
4,30,1,1,1,1,-1,-1,1,84.5,1000,0,1000,500,2000,500,200,700,5900,69.82248521,,,,,,,,,
27,31,1,1,-1,1,-1,1,1,105,2000,800,1000,500,2000,500,0,700,7500,71.42857143,,,,,,,,,
19,32,1,1,-1,1,-1,-1,-1,76,1000,0,700,500,2000,500,0,700,5400,71.05263158,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Main Effects,,,,,,,,,,,,,,,,,,,,,,,,
,,Height,-128.2,-8.0125,,,,,,,,,,,,,,,,,,,,,,,,
,,WheelSize,-119.2,-7.45,,,,,,,,,,,,,,,,,,,,,,,,
,,WheelNo,26.8,1.675,,,,,,,,,,,,,,,,,,,,,,,,
,,Length,362.2,22.6375,,,,,,,,,,,,,,,,,,,,,,,,
,,LoadType,-16.2,-1.0125,,,,,,,,,,,,,,,,,,,,,,,,
